2026-04-06 16:57:03 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,092 rows | Test: 819 rows
2026-04-06 16:59:16 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 16:59:16 | INFO     | src.data.preprocessing |   ✓ 5,911 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 16:59:16 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,092 rows | Test: 819 rows
2026-04-06 17:01:28 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:01:28 | INFO     | src.data.preprocessing |   ✓ 5,911 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:01:28 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,092 rows | Test: 819 rows
2026-04-06 17:03:42 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:03:42 | INFO     | src.data.preprocessing |   ✓ 5,911 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:03:42 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,092 rows | Test: 819 rows
2026-04-06 17:05:54 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:05:54 | INFO     | src.data.preprocessing |   ✓ 5,911 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:05:54 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,092 rows | Test: 819 rows
2026-04-06 17:08:11 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:08:11 | INFO     | src.data.preprocessing |   ✓ 5,911 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:08:11 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,092 rows | Test: 819 rows
2026-04-06 17:10:32 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:10:32 | INFO     | src.data.preprocessing |   ✓ 5,911 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:10:32 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,092 rows | Test: 819 rows
2026-04-06 17:12:54 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:12:54 | INFO     | src.data.preprocessing |   ✓ 5,911 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:12:54 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,092 rows | Test: 819 rows
2026-04-06 17:15:11 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:15:11 | INFO     | src.data.preprocessing |   ✓ 5,911 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:15:11 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 5,092 rows | Test: 819 rows
2026-04-06 17:17:29 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:17:29 | WARNING  | src.data.preprocessing | No volatility results computed (empty input or insufficient data).
2026-04-06 17:17:29 | INFO     | src.data.loader | Loading crypto data from: /home/thota23/Volatility-Forecasting-in-Global-Financial-Markets-Using-TimeMixer/Data/crypto.csv
2026-04-06 17:17:29 | INFO     | src.data.loader |   ✓ crypto: 31,030 rows | 10 tickers | 2014-09-17 → 2026-03-29
2026-04-06 17:17:29 | INFO     | src.data.preprocessing | Computing volatility | window=21d | primary=Yang-Zhang
2026-04-06 17:17:29 | INFO     | src.data.preprocessing |   ✓ 3,042 rows | 1 tickers | cols: ['ds', 'yz_vol', 'rolling_vol', 'unique_id', 'y']
2026-04-06 17:17:29 | INFO     | src.data.preprocessing | Split at 2024-01-01 | Train: 2,223 rows | Test: 819 rows
